Zeit,Messwert,Wert,Sensor,Standort
2026-04-28 15:08:00,pm1,0,hm300x,zimmer
2026-04-28 15:09:00,pm1,0,hm300x,zimmer
2026-04-28 15:10:00,pm1,0,hm300x,zimmer
2026-04-28 15:11:00,pm1,1,hm300x,zimmer
2026-04-28 15:12:00,pm1,1,hm300x,zimmer
2026-04-28 15:13:00,pm1,1,hm300x,zimmer
2026-04-28 15:14:00,pm1,1,hm300x,zimmer
2026-04-28 15:15:00,pm1,0,hm300x,zimmer
2026-04-28 15:16:00,pm1,0,hm300x,zimmer
2026-04-28 15:17:00,pm1,0,hm300x,zimmer
2026-04-28 15:18:00,pm1,0,hm300x,zimmer
2026-04-28 15:19:00,pm1,0,hm300x,zimmer
2026-04-28 15:20:00,pm1,0,hm300x,zimmer
2026-04-28 15:21:00,pm1,1,hm300x,zimmer
2026-04-28 15:08:00,pm10,0,hm300x,zimmer
2026-04-28 15:09:00,pm10,0,hm300x,zimmer
2026-04-28 15:10:00,pm10,0,hm300x,zimmer
2026-04-28 15:11:00,pm10,1,hm300x,zimmer
2026-04-28 15:12:00,pm10,1,hm300x,zimmer
2026-04-28 15:13:00,pm10,1,hm300x,zimmer
2026-04-28 15:14:00,pm10,1,hm300x,zimmer
2026-04-28 15:15:00,pm10,0,hm300x,zimmer
2026-04-28 15:16:00,pm10,0,hm300x,zimmer
2026-04-28 15:17:00,pm10,0,hm300x,zimmer
2026-04-28 15:18:00,pm10,0,hm300x,zimmer
2026-04-28 15:19:00,pm10,0,hm300x,zimmer
2026-04-28 15:20:00,pm10,0,hm300x,zimmer
2026-04-28 15:21:00,pm10,1,hm300x,zimmer
2026-04-28 15:08:00,pm25,0,hm300x,zimmer
2026-04-28 15:09:00,pm25,0,hm300x,zimmer
2026-04-28 15:10:00,pm25,0,hm300x,zimmer
2026-04-28 15:11:00,pm25,1,hm300x,zimmer
2026-04-28 15:12:00,pm25,1,hm300x,zimmer
2026-04-28 15:13:00,pm25,1,hm300x,zimmer
2026-04-28 15:14:00,pm25,1,hm300x,zimmer
2026-04-28 15:15:00,pm25,0,hm300x,zimmer
2026-04-28 15:16:00,pm25,0,hm300x,zimmer
2026-04-28 15:17:00,pm25,0,hm300x,zimmer
2026-04-28 15:18:00,pm25,0,hm300x,zimmer
2026-04-28 15:19:00,pm25,0,hm300x,zimmer
2026-04-28 15:20:00,pm25,0,hm300x,zimmer
2026-04-28 15:21:00,pm25,1,hm300x,zimmer
