Zeit,Messwert,Wert,Sensor,Standort
2026-05-19 11:41:00,pm1,6,hm300x,zimmer
2026-05-19 11:41:50,pm1,6,hm300x,zimmer
2026-05-19 11:42:00,pm1,6,hm300x,zimmer
2026-05-19 11:42:10,pm1,6,hm300x,zimmer
2026-05-19 11:41:00,pm10,6,hm300x,zimmer
2026-05-19 11:41:50,pm10,6,hm300x,zimmer
2026-05-19 11:42:00,pm10,6,hm300x,zimmer
2026-05-19 11:42:10,pm10,6,hm300x,zimmer
2026-05-19 11:41:00,pm25,6,hm300x,zimmer
2026-05-19 11:41:50,pm25,6,hm300x,zimmer
2026-05-19 11:42:00,pm25,6,hm300x,zimmer
2026-05-19 11:42:10,pm25,6,hm300x,zimmer
