Zeit,Messwert,Wert
2026-06-05 10:20:00,pm1,1
2026-06-05 10:30:00,pm1,1
2026-06-05 10:40:00,pm1,0
2026-06-05 10:50:00,pm1,0
2026-06-05 11:00:00,pm1,0
2026-06-05 11:10:00,pm1,0
2026-06-05 11:20:00,pm1,0
2026-06-05 11:30:00,pm1,0
2026-06-05 11:40:00,pm1,0
2026-06-05 11:50:00,pm1,0
2026-06-05 12:00:00,pm1,0
2026-06-05 12:10:00,pm1,0
2026-06-05 12:20:00,pm1,0
2026-06-05 12:30:00,pm1,0
2026-06-05 12:40:00,pm1,0
2026-06-05 12:50:00,pm1,0
2026-06-05 13:00:00,pm1,0
2026-06-05 10:20:00,pm10,1
2026-06-05 10:30:00,pm10,1
2026-06-05 10:40:00,pm10,0
2026-06-05 10:50:00,pm10,0
2026-06-05 11:00:00,pm10,0
2026-06-05 11:10:00,pm10,0
2026-06-05 11:20:00,pm10,0
2026-06-05 11:30:00,pm10,0
2026-06-05 11:40:00,pm10,0
2026-06-05 11:50:00,pm10,0
2026-06-05 12:00:00,pm10,0
2026-06-05 12:10:00,pm10,0
2026-06-05 12:20:00,pm10,0
2026-06-05 12:30:00,pm10,0
2026-06-05 12:40:00,pm10,0
2026-06-05 12:50:00,pm10,0
2026-06-05 13:00:00,pm10,0
2026-06-05 10:20:00,pm25,1
2026-06-05 10:30:00,pm25,1
2026-06-05 10:40:00,pm25,0
2026-06-05 10:50:00,pm25,0
2026-06-05 11:00:00,pm25,0
2026-06-05 11:10:00,pm25,0
2026-06-05 11:20:00,pm25,0
2026-06-05 11:30:00,pm25,0
2026-06-05 11:40:00,pm25,0
2026-06-05 11:50:00,pm25,0
2026-06-05 12:00:00,pm25,0
2026-06-05 12:10:00,pm25,0
2026-06-05 12:20:00,pm25,0
2026-06-05 12:30:00,pm25,0
2026-06-05 12:40:00,pm25,0
2026-06-05 12:50:00,pm25,0
2026-06-05 13:00:00,pm25,0
