#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,standort
,,0,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:41:00Z,6,pm1,luftqualitaet,hm300x,zimmer
,,0,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:41:50Z,6,pm1,luftqualitaet,hm300x,zimmer
,,0,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:42:00Z,6,pm1,luftqualitaet,hm300x,zimmer
,,0,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:42:10Z,6,pm1,luftqualitaet,hm300x,zimmer
,,1,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:41:00Z,6,pm10,luftqualitaet,hm300x,zimmer
,,1,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:41:50Z,6,pm10,luftqualitaet,hm300x,zimmer
,,1,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:42:00Z,6,pm10,luftqualitaet,hm300x,zimmer
,,1,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:42:10Z,6,pm10,luftqualitaet,hm300x,zimmer
,,2,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:41:00Z,6,pm25,luftqualitaet,hm300x,zimmer
,,2,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:41:50Z,6,pm25,luftqualitaet,hm300x,zimmer
,,2,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:42:00Z,6,pm25,luftqualitaet,hm300x,zimmer
,,2,2026-05-19T08:45:01.512351662Z,2026-05-19T09:45:01.512351662Z,2026-05-19T09:42:10Z,6,pm25,luftqualitaet,hm300x,zimmer

