#group,false,false,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,sensor,standort,_value,_time
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:08:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:09:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:10:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,1,2026-04-28T13:11:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,1,2026-04-28T13:12:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,1,2026-04-28T13:13:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,1,2026-04-28T13:14:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:15:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:16:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:17:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:18:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:19:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:20:00Z
,,0,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm1,luftqualitaet,hm300x,zimmer,1,2026-04-28T13:21:00Z
,,1,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm10,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:08:00Z
,,1,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm10,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:09:00Z
,,1,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm10,luftqualitaet,hm300x,zimmer,0,2026-04-28T13:10:00Z
,,1,2026-04-28T11:56:18.382504243Z,2026-04-28T17:56:18.382504243Z,pm10,luftqualitaet,hm300x,zimmer,1,2026-04-28T13:11:00Z
